prompt_id,prompt_title,category,metric,mean,median,std_dev,cv_percent,ci_low,ci_high,min_val,max_val,n_runs,reliability
approval,8. Approval Overhead,process,approval_gate_count,7.0,7.0,1.875,26.8,6.329,7.671,3.0,12.0,30,low
approval,8. Approval Overhead,process,approvals_that_changed_direction,3.1,3.0,1.094,35.3,2.709,3.491,1.0,5.0,30,low
approval,8. Approval Overhead,process,perfunctory_approvals,3.7,4.0,1.705,46.1,3.09,4.31,1.0,8.0,30,low
approval,8. Approval Overhead,process,total_approval_wait_days,9.012,9.0,3.213,35.6,7.862,10.161,2.1,15.8,30,low
bottleneck,2. Bottleneck Identification,process,top_bottleneck_days,3.922,4.0,0.455,11.6,3.759,4.085,3.0,5.08,30,moderate
cycle_time,1. Cycle Time Extraction,process,active_work_days,7.23,7.25,2.542,35.2,6.32,8.139,2.125,11.0,30,low
cycle_time,1. Cycle Time Extraction,process,active_work_percent,51.548,49.0,16.772,32.5,45.546,57.549,28.0,77.0,30,low
cycle_time,1. Cycle Time Extraction,process,handoff_count,14.467,15.0,4.569,31.6,12.832,16.102,7.0,20.0,30,low
cycle_time,1. Cycle Time Extraction,process,time_to_first_response_hours,7.133,7.25,0.127,1.8,7.088,7.179,7.0,7.25,30,high
cycle_time,1. Cycle Time Extraction,process,total_cycle_time_days,14.203,15.0,1.622,11.4,13.622,14.783,11.0,15.0,30,moderate
cycle_time,1. Cycle Time Extraction,process,wait_time_days,6.57,6.0,2.465,37.5,5.688,7.452,2.5,10.83,30,low
cycle_time,1. Cycle Time Extraction,process,wait_time_percent,47.286,45.0,17.121,36.2,41.159,53.412,23.0,72.0,30,low
decision,4. Decision Point Mapping,process,average_decision_delay_hours,18.986,18.415,8.371,44.1,15.99,21.981,2.13,38.0,30,low
decision,4. Decision Point Mapping,process,decisions_causing_rework,2.5,2.0,0.861,34.4,2.192,2.808,1.0,5.0,30,low
decision,4. Decision Point Mapping,process,total_decision_time_days,5.808,5.748,3.59,61.8,4.523,7.093,1.04,15.0,30,low
decision,4. Decision Point Mapping,process,total_decisions,6.533,7.0,0.507,7.8,6.352,6.715,6.0,7.0,30,high
exception,7. Exception vs. Standard Path,process,exception_count,4.167,4.0,1.262,30.3,3.715,4.618,3.0,9.0,30,low
exception,7. Exception vs. Standard Path,process,exception_handling_days,7.092,7.0,1.82,25.7,6.441,7.744,2.656,10.0,30,low
exception,7. Exception vs. Standard Path,process,exception_handling_percent,51.43,54.0,10.635,20.7,47.624,55.236,17.7,62.5,30,low
