prompt_id,prompt_title,category,metric,mean,median,std_dev,cv_percent,ci_low,ci_high,min_val,max_val,n_runs,reliability
approval,approval,process,approval_gate_count,6.18,6.0,1.863,30.2,5.969,6.391,2.0,13.0,300,low
approval,approval,process,approvals_that_changed_direction,3.017,3.0,1.099,36.4,2.892,3.141,1.0,7.0,300,low
approval,approval,process,perfunctory_approvals,2.97,3.0,1.585,53.4,2.791,3.149,0.0,10.0,300,low
approval,approval,process,total_approval_wait_days,8.409,8.51,2.676,31.8,8.106,8.712,1.46,16.0,300,low
bottleneck,bottleneck,process,top_bottleneck_days,4.103,4.0,0.714,17.4,4.022,4.184,2.5,7.33,300,moderate
cycle_time,cycle_time,process,active_work_days,7.158,7.35,2.576,36.0,6.866,7.449,0.86,13.5,300,low
cycle_time,cycle_time,process,active_work_percent,50.96,53.0,18.802,36.9,48.832,53.087,6.0,93.0,300,low
cycle_time,cycle_time,process,handoff_count,13.797,15.0,4.478,32.5,13.29,14.303,6.0,25.0,300,low
cycle_time,cycle_time,process,time_to_first_response_hours,7.128,7.0,0.144,2.0,7.111,7.144,7.0,8.0,300,high
cycle_time,cycle_time,process,total_cycle_time_days,14.161,15.0,1.705,12.0,13.968,14.354,9.0,15.53,300,moderate
cycle_time,cycle_time,process,wait_time_days,7.006,6.63,2.931,41.8,6.674,7.337,0.81,14.14,300,low
cycle_time,cycle_time,process,wait_time_percent,48.099,46.35,18.543,38.6,46.0,50.197,7.0,94.0,300,low
decision,decision,process,average_decision_delay_hours,19.439,18.065,10.473,53.9,18.254,20.624,1.6,64.3,300,low
decision,decision,process,decisions_causing_rework,2.483,2.0,0.756,30.4,2.398,2.569,1.0,5.0,300,low
decision,decision,process,total_decision_time_days,6.26,5.5,4.484,71.6,5.753,6.767,0.23,38.4,300,low
decision,decision,process,total_decisions,6.577,7.0,0.593,9.0,6.51,6.644,4.0,7.0,300,high
exception,exception,process,exception_count,4.133,4.0,1.064,25.7,4.013,4.254,2.0,9.0,300,low
exception,exception,process,exception_handling_days,7.343,7.5,2.074,28.2,7.109,7.578,2.36,12.75,300,low
exception,exception,process,exception_handling_percent,53.601,54.0,10.877,20.3,52.37,54.832,15.9,91.3,300,low
exception,exception,process,standard_path_days,5.99,6.0,1.624,27.1,5.806,6.174,0.479,11.28,300,low
exception,exception,process,standard_path_percent,44.332,43.5,11.229,25.3,43.061,45.603,6.0,74.9,300,low
handoff,handoff,process,average_delay_hours,15.678,15.19,6.18,39.4,14.979,16.378,4.2,62.4,300,low
handoff,handoff,process,handoffs_causing_rework,6.387,6.0,1.451,22.7,6.223,6.551,3.0,14.0,300,low
handoff,handoff,process,handoffs_with_info_loss,6.28,6.0,1.334,21.2,6.129,6.431,4.0,11.0,300,low
handoff,handoff,process,total_handoffs,12.543,12.0,1.429,11.4,12.382,12.705,11.0,24.0,300,moderate
information_flow,information_flow,process,channel_switches,7.26,7.0,1.562,21.5,7.083,7.437,5.0,19.0,300,low
information_flow,information_flow,process,incomplete_handoffs,5.033,5.0,0.304,6.0,4.999,5.068,3.0,6.0,300,high
information_flow,information_flow,process,information_hunts,4.04,4.0,0.382,9.4,3.997,4.083,2.0,6.0,300,high
information_flow,information_flow,process,repeated_questions,3.073,3.0,0.274,8.9,3.042,3.104,2.0,4.0,300,high
value_waste,value_waste,process,coordination_days,1.501,1.151,1.297,86.4,1.354,1.648,0.14,6.8,300,low
value_waste,value_waste,process,coordination_percent,12.915,9.55,10.128,78.4,11.769,14.061,0.9,54.0,300,low
value_waste,value_waste,process,rework_days,1.88,1.5,1.444,76.8,1.717,2.044,0.06,6.0,300,low
value_waste,value_waste,process,rework_percent,13.354,11.9,8.662,64.9,12.374,14.334,0.8,38.7,300,low
value_waste,value_waste,process,value_creation_days,3.624,3.5,1.975,54.5,3.4,3.847,0.15,17.5,300,low
value_waste,value_waste,process,value_creation_percent,30.752,28.0,17.385,56.5,28.785,32.719,1.7,79.0,300,low
value_waste,value_waste,process,wait_days,6.799,6.5,4.952,72.8,6.239,7.36,0.135,30.09,300,low
